
Algorithm: Bellman-Ford
Source: 0

Vertex Distance
0 0
1 9
2 13
3 5
4 14
5 14
6 14
7 14
8 11
9 17
10 15
11 12
12 14
13 1
14 2
15 8
16 12
17 16
18 15
19 15
20 15
21 7
22 11
23 18
24 26
25 15
26 15
27 14
28 15
29 12
30 16
31 19
32 22
33 14
34 14
35 12
36 13
37 14
38 9
39 11
40 17
41 15
42 14
43 15
44 16
45 19
46 13
47 14
48 12
49 13
50 14
51 6
52 8
53 13
54 18
55 6
56 4
57 13
58 15
59 18
60 15
61 16
62 12
63 13
64 16
65 13
66 22
67 21
68 8
69 12
70 11
71 13
72 14
73 12
74 13
75 14
76 15
77 10
78 13
79 14
80 20
81 12
82 16
83 9
84 11
85 8
86 15
87 16
88 21
89 18
90 13
91 12
92 13
93 15
94 12
95 13
96 11
97 10
98 12
99 15

Negative cycle: none
Execution time: 0.08 microsecond
