Algorithm: Kruskal's MST
MST edges:
6 86 1
8 32 1
79 92 2
71 72 2
2 88 2
15 41 3
44 99 3
27 37 4
30 34 4
12 71 4
93 98 4
50 51 5
37 80 5
10 54 6
60 86 6
0 5 6
4 24 7
31 52 8
59 63 8
16 94 10
32 34 10
43 66 10
61 68 10
2 7 11
12 45 11
6 84 11
20 56 12
59 88 12
23 43 12
25 32 13
20 27 13
41 84 14
23 88 15
27 47 15
36 43 15
6 96 16
27 82 16
36 65 16
2 53 17
67 93 17
16 60 18
44 90 18
4 51 19
55 76 19
79 94 19
1 10 19
48 93 20
9 22 20
13 39 21
51 79 21
10 23 21
34 51 22
13 51 23
8 11 23
56 79 24
43 76 24
5 33 26
34 70 26
29 36 26
40 90 27
24 35 27
9 80 29
12 24 29
63 78 30
74 83 30
11 40 31
14 74 31
30 75 32
38 40 32
0 39 32
24 55 33
19 72 34
42 48 36
48 91 36
49 92 36
62 82 36
14 41 37
43 89 37
17 95 37
6 31 38
27 67 42
25 57 43
64 74 45
35 61 46
1 17 48
95 97 48
1 3 50
18 53 50
64 85 51
1 28 52
54 69 53
73 76 55
21 85 55
26 61 57
58 81 58
38 58 60
24 77 72
46 50 73
0 87 98
Total MST weight: 2512
Execution time: 0.102611 ms

Algorithm: Prim's MST
MST edges:
0 5 6
5 33 26
0 39 32
39 13 21
13 51 23
51 50 5
51 4 19
4 24 7
51 79 21
79 92 2
79 94 19
94 16 10
16 60 18
60 86 6
86 6 1
6 84 11
84 41 14
41 15 3
6 96 16
51 34 22
34 30 4
34 32 10
32 8 1
32 25 13
8 11 23
79 56 24
56 20 12
20 27 13
27 37 4
37 80 5
27 47 15
27 82 16
34 70 26
24 35 27
80 9 29
9 22 20
24 12 29
12 71 4
71 72 2
12 45 11
11 40 31
40 90 27
90 44 18
44 99 3
40 38 32
30 75 32
24 55 33
55 76 19
76 43 24
43 66 10
43 23 12
43 36 15
23 88 15
88 2 2
2 7 11
88 59 12
59 63 8
36 65 16
2 53 17
23 10 21
10 54 6
10 1 19
36 29 26
63 78 30
72 19 34
92 49 36
82 62 36
41 14 37
14 74 31
74 83 30
43 89 37
6 31 38
31 52 8
27 67 42
67 93 17
93 98 4
93 48 20
48 42 36
48 91 36
25 57 43
74 64 45
35 61 46
61 68 10
1 17 48
17 95 37
95 97 48
1 3 50
53 18 50
64 85 51
1 28 52
54 69 53
85 21 55
76 73 55
61 26 57
38 58 60
58 81 58
24 77 72
50 46 73
0 87 98
Total MST weight: 2512
Execution time: 0.605163 ms
